City2,State2,savings,hpigap,Pop,Location,Latitude,Longitude
StringFilter,StringFilter,,,,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
Champaign-Urbana,IL,0.3979129328,116.16,49,"Champaign-Urbana, IL",40.1105875,-88.2072697
Charleston,WV,0.4914414357,167.036875,106,"Charleston, WV",38.3498195,-81.6326234
Charleston-North Charleston,SC,0.1328372249,46.43375,521,"Charleston-North Charleston, SC",32.8909785,-80.0691552
Charlotte-Concord-Gastonia,NC,0.2636930272,76.79846154,2284,"Charlotte-Concord-Gastonia, NC",35.1223173,-80.7214417
Charlottesville,VA,0.3177154775,108.7208333,139,"Charlottesville, VA",38.0293059,-78.4766781
Chattanooga,TN,0.2395998782,66.88575,1025,"Chattanooga, TN",35.0457984,-85.3093995
Cheyenne,WY,0.3009991915,100.59,243,"Cheyenne, WY",41.1399814,-104.8202462
Chicago-Naperville-Elgin,IL,0.2125922614,49.91395833,1352,"Chicago-Naperville-Elgin, IL",42.2162567,-87.8549755
Cincinnati,OH,0.397912789,118.085,779,"Cincinnati, OH",39.1031182,-84.5120196
Clarksville,TN,0.2291023705,68.81846154,1041,"Clarksville, TN",36.5297706,-87.3594528
Cleveland,TN,0.4091174653,135.6916667,190,"Cleveland, TN",35.1595182,-84.8766115
Cleveland-Elyria,OH,0.4653531548,131.8875,987,"Cleveland-Elyria, OH",41.3683798,-82.1076486
Coeur d'Alene,ID,0.2579516498,81.122,1176,"Coeur d'Alene, ID",47.6734632,-116.7812225
College Station-Bryan,TX,0.2567500115,76.54083333,376,"College Station-Bryan, TX",30.825147,-96.4929797
Colorado Springs,CO,0.3079067565,95.520625,2218,"Colorado Springs, CO",38.8338816,-104.8213634
Columbia,MO,0.332165293,99.582,182,"Columbia, MO",38.9517053,-92.3340724
Columbia,SC,0.31595425,88.92985294,1920,"Columbia, SC",34.0007104,-81.0348144
Columbus,GA,0.3776002882,109.7102083,416,"Columbus, GA",32.4609764,-84.9877094
Columbus,IN,0.5516580051,194.94625,41,"Columbus, IN",39.2014404,-85.9213796
Columbus,OH,0.3031379335,80.5725,367,"Columbus, OH",39.9611755,-82.9987942
Corpus Christi,TX,0.2326494807,68.611,569,"Corpus Christi, TX",27.8005828,-97.396381
Corvallis,OR,0.3308152779,110.1741667,398,"Corvallis, OR",44.5645659,-123.2620435
Crestview-Fort Walton Beach-Destin,FL,0.2374999783,77.40277778,554,"Crestview-Fort Walton Beach-Destin, FL",30.3935337,-86.4957833
Cumberland,MD,0.5585815074,197.33875,10,"Cumberland, MD",39.6528654,-78.7625185
Dallas-Fort Worth-Arlington,TX,0.2127904755,66.90145833,13789,"Dallas-Fort Worth-Arlington, TX",32.735687,-97.1080656
Dalton,GA,0.4050422229,126.24,156,"Dalton, GA",34.7698021,-84.9702228
Danville,IL,0.1684916087,32.93,2,"Danville, IL",40.124481,-87.6300207
Daphne-Fairhope-Foley,AL,0.181251334,48.641,36,"Daphne-Fairhope-Foley, AL",30.6035255,-87.9036047
Davenport-Moline-Rock Island,IA,0.2389799537,63.7275,477,"Davenport-Moline-Rock Island, IA",41.5067003,-90.5151342
Dayton-Kettering,OH,0.4764533143,131.7768182,727,"Dayton-Kettering, OH",39.7107627,-84.139777
Decatur,AL,0.3368587999,94.05,7,"Decatur, AL",34.6059253,-86.9833417
Decatur,IL,0.4647853498,133.1608333,66,"Decatur, IL",39.8403147,-88.9548001
Deltona-Daytona Beach-Ormond Beach,FL,0.2465313679,75.01928571,357,"Deltona-Daytona Beach-Ormond Beach, FL",29.2858129,-81.0558894
Denver-Aurora-Lakewood,CO,0.1039394298,36.6125,4210,"Denver-Aurora-Lakewood, CO",39.5142848,-104.8454619
Des Moines-West Des Moines,IA,0.3101475154,93.30875,408,"Des Moines-West Des Moines, IA",41.5410117,-93.8163328
Detroit-Warren-Dearborn,MI,0.2736104183,58.691,287,"Detroit-Warren-Dearborn, MI",42.3222599,-83.1763145
Dothan,AL,0.4090804116,122.645,51,"Dothan, AL",31.2232313,-85.3904888
Dover,DE,0.3929265061,134.08625,38,"Dover, DE",39.158168,-75.5243682
Dubuque,IA,0.3643433361,116.6635,68,"Dubuque, IA",42.506348,-90.6677347
Duluth,MN,0.1993096504,67.639375,139,"Duluth, MN",46.7866719,-92.1004852
Durham-Chapel Hill,NC,0.213342488,61.605625,591,"Durham-Chapel Hill, NC",35.9708029,-78.9740725
East Stroudsburg,PA,0.3950168371,104.4291667,116,"East Stroudsburg, PA",41.0030522,-75.1817547
Eau Claire,WI,0.3474522973,111.1575,36,"Eau Claire, WI",44.811349,-91.4984941
El Paso,TX,0.3095395262,85.22055556,1635,"El Paso, TX",31.7618778,-106.4850217
Elizabethtown-Fort Knox,KY,0.2795806318,74.92416667,190,"Elizabethtown-Fort Knox, KY",37.8836637,-85.9652686
Elkhart-Goshen,IN,0.4019515375,109.6866667,352,"Elkhart-Goshen, IN",41.5456719,-85.8281458
Elmira,NY,0.3331021703,82.16125,52,"Elmira, NY",42.0897965,-76.8077338
Enid,OK,0.2342376389,72.90041667,169,"Enid, OK",36.3955891,-97.8783911
Erie,PA,0.4135847514,129.2025,102,"Erie, PA",42.1292241,-80.085059
Eugene-Springfield,OR,0.2091172863,64.90716667,3290,"Eugene-Springfield, OR",44.0462362,-123.0220289
Evansville,IN,0.4007764713,116.7008333,269,"Evansville, IN",37.9715592,-87.5710898
Fargo,ND,0.237192532,79.1375,81,"Fargo, ND",46.8771863,-96.7898034
Farmington,NM,0.3190041247,103.473125,186,"Farmington, NM",36.7280583,-108.2186856
Fayetteville,NC,0.3861494663,103.1109615,768,"Fayetteville, NC",35.0523673,-78.8783774
Fayetteville-Springdale-Rogers,AR,0.3336552773,102.4913889,1143,"Fayetteville-Springdale-Rogers, AR",36.0148605,-94.2333355
Flagstaff,AZ,0.2454525434,78.426,2036,"Flagstaff, AZ",35.1982836,-111.651302
Flint,MI,0.4049010491,103.2635,152,"Flint, MI",43.0125274,-83.6874562
Florence,SC,0.2549862432,58.9875,62,"Florence, SC",34.1954331,-79.7625625
Florence-Muscle Shoals,AL,0.3325590909,106.1141667,194,"Florence-Muscle Shoals, AL",34.7448112,-87.6675292
Fond du Lac,WI,0.4123042181,115.47,30,"Fond du Lac, WI",43.7730448,-88.4470508
Fort Collins,CO,0.1939534699,65.5975,1267,"Fort Collins, CO",40.5852602,-105.084423
Fort Smith,AR,0.3156607091,91.5021875,439,"Fort Smith, AR",35.3843722,-94.4209646
Fort Wayne,IN,0.37762769,97.44916667,315,"Fort Wayne, IN",41.079273,-85.1393513
Gadsden,AL,0.4260670364,132.5175,5,"Gadsden, AL",34.014264,-86.0066386
Gainesville,FL,0.2752178176,81.435625,516,"Gainesville, FL",29.6516344,-82.3248262
Gainesville,GA,0.3028138545,88.99,242,"Gainesville, GA",34.2978794,-83.8240663
Gettysburg,PA,0.3896047739,118.72,75,"Gettysburg, PA",39.8309293,-77.2310955
Glens Falls,NY,0.4720630488,167.44125,12,"Glens Falls, NY",43.3095164,-73.6440058
Goldsboro,NC,0.3787109061,104.13875,64,"Goldsboro, NC",35.3848841,-77.9927651
Grand Forks,ND,0.1575897366,46.045,167,"Grand Forks, ND",47.9252568,-97.0328547
Grand Island,NE,0.382689248,127.5216667,130,"Grand Island, NE",40.9263957,-98.3420118
Grand Junction,CO,0.2974077234,97.82416667,114,"Grand Junction, CO",39.0638705,-108.5506486
Grand Rapids-Kentwood,MI,0.3299982048,95.0485,995,"Grand Rapids-Kentwood, MI",42.901022,-85.7256372
Grants Pass,OR,0.2259139481,71.45729167,752,"Grants Pass, OR",42.4390069,-123.3283925
Great Falls,MT,0.1875405822,48.90416667,109,"Great Falls, MT",47.5052849,-111.3007715
Greeley,CO,0.2277676448,73.67041667,334,"Greeley, CO",40.4233142,-104.7091322
Green Bay,WI,0.4783072479,156.2045,128,"Green Bay, WI",44.5133188,-88.0132958
Greensboro-High Point,NC,0.4421394199,131.4475,520,"Greensboro-High Point, NC",35.9556923,-80.0053176
Greenville,NC,0.4853347929,140.8883333,100,"Greenville, NC",35.612661,-77.3663538
Greenville-Anderson,SC,0.3504620475,105.5825,794,"Greenville-Anderson, SC",34.509023,-82.6521581
Gulfport-Biloxi,MS,0.2586210174,68.57678571,748,"Gulfport-Biloxi, MS",30.3674198,-89.0928155
Hagerstown-Martinsburg,MD,0.2754740342,69.14,315,"Hagerstown-Martinsburg, MD",39.6417629,-77.7199932
Hammond,LA,0.3481633309,108.2875,15,"Hammond, LA",30.5043583,-90.4611995
Harrisburg-Carlisle,PA,0.3537663339,100.3141667,258,"Harrisburg-Carlisle, PA",40.3157054,-77.1024902
Harrisonburg,VA,0.2341347159,66.7975,97,"Harrisonburg, VA",38.4495688,-78.8689155
Hartford-East Hartford-MiddleTown,CT,0.3528893678,104.16125,610,"Hartford-East Hartford-MiddleTown, CT",41.7634219,-72.6128339
Hattiesburg,MS,0.2285879049,64.19125,63,"Hattiesburg, MS",31.3271189,-89.2903392
Hickory-Lenoir-Morganton,NC,0.4198223252,126.1407143,758,"Hickory-Lenoir-Morganton, NC",35.7454071,-81.6848188
Hilton Head Island-Bluffton,SC,0.2738945252,87.6995,174,"Hilton Head Island-Bluffton, SC",32.2371465,-80.8603868
Hinesville,GA,0.4539423938,142.006875,128,"Hinesville, GA",31.8315028,-81.6141099
Homosassa Springs,FL,0.3839562015,121.0775,14,"Homosassa Springs, FL",28.8037059,-82.5761369
Hot Springs,AR,0.3718428825,121.3025,165,"Hot Springs, AR",34.5077615,-93.0546003
Houma-Thibodaux,LA,0.243276264,75.665,90,"Houma-Thibodaux, LA",29.7957633,-90.822871
Houston-The Woodlands-Sugar Land,TX,0.163968261,52.245,5156,"Houston-The Woodlands-Sugar Land, TX",29.5984434,-95.6225521
Huntington-Ashland,WV,0.3535048696,96.89166667,50,"Huntington-Ashland, WV",38.3277225,-82.4752757
Huntsville,AL,0.398645847,126.015,634,"Huntsville, AL",34.7303688,-86.5861037
Idaho Falls,ID,0.2081910095,55.2525,617,"Idaho Falls, ID",43.4926607,-112.0407584
Indianapolis-Carmel-Anderson,IN,0.3557120461,92.07730769,1526,"Indianapolis-Carmel-Anderson, IN",39.83619,-86.1751759
Iowa City,IA,0.3691188599,113.2025,356,"Iowa City, IA",41.6578257,-91.5346169
Ithaca,NY,0.2122840822,68.735,355,"Ithaca, NY",42.4439614,-76.5018807
Jackson,MI,0.3892240827,105.764375,204,"Jackson, MI",42.245869,-84.4013462
Jackson,MS,0.3440826091,107.9515,151,"Jackson, MS",32.2987573,-90.1848103
Jackson,TN,0.4134816709,107.6241667,38,"Jackson, TN",35.6145169,-88.8139469
Jacksonville,FL,0.2375317356,78.91678571,1301,"Jacksonville, FL",30.3321838,-81.655651
Jacksonville,NC,0.2612710369,78.31472222,826,"Jacksonville, NC",34.7540524,-77.4302414
Janesville-Beloit,WI,0.4755844276,149.26375,67,"Janesville-Beloit, WI",42.5083482,-89.0317765
Jefferson City,MO,0.3114883711,83.80928571,129,"Jefferson City, MO",38.5767017,-92.1735164
JohnsTown,PA,0.4272010621,132.2535,210,"JohnsTown, PA",40.3267407,-78.9219698
Johnson City,TN,0.3935232553,124.58,114,"Johnson City, TN",36.3134397,-82.3534727
Jonesboro,AR,0.4479067036,133.465,73,"Jonesboro, AR",35.835696,-90.7051346
Joplin,MO,0.3506751503,107.9233333,127,"Joplin, MO",37.0842271,-94.513281
Kalamazoo-Portage,MI,0.3964428331,117.8625,444,"Kalamazoo-Portage, MI",42.2011538,-85.5800022
Kankakee,IL,0.4307589783,110.615,105,"Kankakee, IL",41.1200325,-87.8611531
Kansas City,MO,0.2325585531,66.52675,1340,"Kansas City, MO",39.0997265,-94.5785667
Kennewick-Richland,WA,0.3070615181,92.17541667,666,"Kennewick-Richland, WA",46.2086683,-119.119948
Killeen-Temple,TX,0.3559728494,103.7307143,1586,"Killeen-Temple, TX",31.1241507,-97.6982272
Kingsport-Bristol,TN,0.3212203436,103.515,34,"Kingsport-Bristol, TN",36.5951059,-82.1887444
Kingston,NY,0.4318320675,167.865,14,"Kingston, NY",41.9270367,-73.9973608
Knoxville,TN,0.2514892732,77.91275,1097,"Knoxville, TN",35.9606384,-83.9207392
Kokomo,IN,0.5243032096,145.82875,11,"Kokomo, IN",40.486427,-86.1336033
La Crosse-Onalaska,WI,0.3509664658,118.4375,80,"La Crosse-Onalaska, WI",43.8792745,-91.2240694
Lafayette,LA,0.1966611674,57.21,112,"Lafayette, LA",30.2240897,-92.0198427
Lafayette-West Lafayette,IN,0.4419848759,128.8358333,312,"Lafayette-West Lafayette, IN",40.4258686,-86.9080655
Lake Charles,LA,0.3265959443,107.4725,50,"Lake Charles, LA",30.2265949,-93.2173758
Lake Havasu City-Kingman,AZ,0.2188738962,64.63152778,2734,"Lake Havasu City-Kingman, AZ",34.483901,-114.3224548
Lakeland-Winter Haven,FL,0.3088584697,103.3408333,392,"Lakeland-Winter Haven, FL",28.0222435,-81.7328567
Lancaster,PA,0.2887684612,78.0955,148,"Lancaster, PA",40.0378755,-76.3055144
Lansing-East Lansing,MI,0.4431983443,137.9133333,421,"Lansing-East Lansing, MI",42.7369792,-84.4838654
Laredo,TX,0.3993145117,133.9875,62,"Laredo, TX",27.5035613,-99.5075519
Las Cruces,NM,0.3916445109,115.0441667,463,"Las Cruces, NM",32.3199396,-106.7636538
Las Vegas-Henderson-Paradise,NV,0.3052525732,87.844,20463,"Las Vegas-Henderson-Paradise, NV",36.0971945,-115.1466648
Lawrence,KS,0.249766954,75.48464286,101,"Lawrence, KS",38.9716689,-95.2352501
Lawton,OK,0.3559097462,94.84875,354,"Lawton, OK",34.6035669,-98.3959291
Lebanon,PA,0.4056479846,116.49625,48,"Lebanon, PA",40.3409251,-76.4113497
Lewiston,ID,0.195081949,54.65392857,253,"Lewiston, ID",46.4004089,-117.0011889
Lewiston-Auburn,ME,0.4759556242,169.77,41,"Lewiston-Auburn, ME",44.100351,-70.2147764
Lexington-Fayette,KY,0.2756941726,73.38083333,102,"Lexington-Fayette, KY",38.0405837,-84.5037164
Lima,OH,0.3955001368,109.956875,174,"Lima, OH",40.742551,-84.1052256
Lincoln,NE,0.3137611263,87.33535714,486,"Lincoln, NE",40.813616,-96.7025955
Little Rock-North Little Rock-Conway,AR,0.2692236844,74.205,163,"Little Rock-North Little Rock-Conway, AR",34.756104,-92.2677497
Logan,UT,0.2307597306,63.74214286,266,"Logan, UT",41.7369803,-111.8338359
Longview,TX,0.3051045549,102.67375,112,"Longview, TX",32.5007037,-94.7404891
Longview,WA,0.2802359286,88.10535714,237,"Longview, WA",46.1381676,-122.9381672
Louisville/Jefferson County,KY,0.3479612851,106.20075,600,"Louisville/Jefferson County, KY",38.2526647,-85.7584557
Lubbock,TX,0.3076513172,93.66857143,505,"Lubbock, TX",33.5845617,-101.8456417
Lynchburg,VA,0.3525149364,113.9841667,194,"Lynchburg, VA",37.4137536,-79.1422464
Macon-Bibb County,GA,0.4817703872,135.488125,67,"Macon-Bibb County, GA",32.8406946,-83.6324022
Madison,WI,0.2480661387,68.76875,278,"Madison, WI",43.0721661,-89.4007501
Manchester-Nashua,NH,0.3029758528,100.5766667,239,"Manchester-Nashua, NH",42.7851459,-71.4797373
Manhattan,KS,0.2444162017,77.445,343,"Manhattan, KS",39.1836082,-96.5716694
Mankato,MN,0.07372812276,15.765,22,"Mankato, MN",44.1635775,-93.9993996
Mansfield,OH,0.5362835391,159.3083333,67,"Mansfield, OH",40.75839,-82.5154471
McAllen-Edinburg-Mission,TX,0.397917474,122.7417857,454,"McAllen-Edinburg-Mission, TX",26.2336971,-98.1775638
Medford,OR,0.230878621,78.24833333,1307,"Medford, OR",42.3265152,-122.8755949
Memphis,TN,0.3590996261,96.14166667,858,"Memphis, TN",35.1495343,-90.0489801
Miami-Fort Lauderdale-Pompano Beach,FL,0.08031341525,24.47,1004,"Miami-Fort Lauderdale-Pompano Beach, FL",26.2378597,-80.1247667
Michigan City-La Porte,IN,0.322605855,86.8925,57,"Michigan City-La Porte, IN",41.7075394,-86.8950297
Midland,MI,0.5606508151,189.548125,60,"Midland, MI",43.6155825,-84.2472116
Midland,TX,0.09850117867,36.14875,203,"Midland, TX",31.9973456,-102.0779146
Milwaukee-Waukesha,WI,0.2852504097,83.92666667,279,"Milwaukee-Waukesha, WI",43.0158822,-88.2435014
Minneapolis-St. Paul-Bloomington,MN,0.2100361788,62.455625,415,"Minneapolis-St. Paul-Bloomington, MN",44.840798,-93.2982799
Missoula,MT,0.1867875287,62.531875,460,"Missoula, MT",46.8721284,-113.9940314
Mobile,AL,0.2821691785,71.4555,53,"Mobile, AL",30.6953657,-88.0398912
Monroe,LA,0.3343065693,99.615,9,"Monroe, LA",32.5093109,-92.1193012
Monroe,MI,0.3753081585,98.685,22,"Monroe, MI",41.9164343,-83.3977101
Montgomery,AL,0.3659062919,87.24916667,318,"Montgomery, AL",32.3792233,-86.3077368
MorganTown,WV,0.2610049862,73.42125,119,"MorganTown, WV",39.629526,-79.9558968
MorrisTown,TN,0.3739735777,107.61375,75,"MorrisTown, TN",36.2139814,-83.2948922
Mount Vernon-Anacortes,WA,0.2527969514,80.3625,178,"Mount Vernon-Anacortes, WA",48.4201105,-122.3374542
Muncie,IN,0.2987147162,60.7175,14,"Muncie, IN",40.1933767,-85.3863599
Muskegon,MI,0.3038586296,79.63583333,22,"Muskegon, MI",43.2341813,-86.2483921
Myrtle Beach-Conway-North Myrtle Beach,SC,0.2241037424,62.24833333,304,"Myrtle Beach-Conway-North Myrtle Beach, SC",33.7973825,-78.7400318
Naples-Marco Island,FL,0.1712580331,62.425625,238,"Naples-Marco Island, FL",25.9397412,-81.7075355
Nashville-Davidson--Murfreesboro--Franklin,TN,0.2469119726,81.69392857,2404,"Nashville-Davidson--Murfreesboro--Franklin, TN",35.8456213,-86.39027
New Bern,NC,0.4354786862,132.42775,502,"New Bern, NC",35.108493,-77.0441143
New Haven-Milford,CT,0.3746684953,118.0140625,174,"New Haven-Milford, CT",41.227077,-73.0220961
New Orleans-Metairie,LA,0.2232795732,64.41071429,234,"New Orleans-Metairie, LA",29.9995605,-90.1785246
New York-Newark-Jersey City,NY,0.09353210555,25.99,12,"New York-Newark-Jersey City, NY",40.7127753,-74.0059728
Niles,MI,0.345590683,108.039,138,"Niles, MI",41.8297694,-86.2541768
North Port-Sarasota-Bradenton,FL,0.1731555485,55.243125,792,"North Port-Sarasota-Bradenton, FL",27.3959334,-82.5185837
Norwich-New London,CT,0.3172492648,98.028,137,"Norwich-New London, CT",41.3556539,-72.0995209
Ocala,FL,0.3305631744,100.7710714,290,"Ocala, FL",29.1871986,-82.1400923
Ocean City,NJ,0.1585889415,54.7225,313,"Ocean City, NJ",39.2776156,-74.5746001
Odessa,TX,0.2042865515,68.69666667,295,"Odessa, TX",31.8456816,-102.3676431
Ogden-Clearfield,UT,0.2602575223,79.748125,1331,"Ogden-Clearfield, UT",41.135714,-111.9999435
Oklahoma City,OK,0.2691092443,80.29386364,1618,"Oklahoma City, OK",35.4675602,-97.5164276
Olympia-Lacey-Tumwater,WA,0.2506554895,77.99909091,696,"Olympia-Lacey-Tumwater, WA",47.0073187,-122.9093063
Omaha-Council Bluffs,NE,0.3141279922,91.27475,513,"Omaha-Council Bluffs, NE",41.2903833,-95.8987139
Orlando-Kissimmee-Sanford,FL,0.1838856196,51.45875,769,"Orlando-Kissimmee-Sanford, FL",28.5828156,-81.3399414
Oshkosh-Neenah,WI,0.4755802131,144.8875,253,"Oshkosh-Neenah, WI",44.1858193,-88.462609
Palm Bay-Melbourne-Titusville,FL,0.2056649073,58.08928571,1183,"Palm Bay-Melbourne-Titusville, FL",28.263933,-80.7214417
Panama City,FL,0.3262341317,99.4325,168,"Panama City, FL",30.1588129,-85.6602058
Parkersburg-Vienna,WV,0.2488665798,59.24875,32,"Parkersburg-Vienna, WV",39.3270191,-81.5484578
Pensacola-Ferry Pass-Brent,FL,0.2431185739,69.65946429,468,"Pensacola-Ferry Pass-Brent, FL",30.4332772,-87.199966
Peoria,IL,0.3184957108,90.48535714,84,"Peoria, IL",40.6936488,-89.5889864
Philadelphia-Camden-Wilmington,PA,0.2042136486,67.0245,328,"Philadelphia-Camden-Wilmington, PA",39.8373479,-75.1545381
Phoenix-Mesa-Chandler,AZ,0.1921446897,61.66613636,20826,"Phoenix-Mesa-Chandler, AZ",33.3061605,-111.8412502
Pine Bluff,AR,0.1861312935,36.3775,9,"Pine Bluff, AR",34.224908,-92.0033977
Pittsburgh,PA,0.2087579325,56.62975,468,"Pittsburgh, PA",40.4406248,-79.9958864
Pittsfield,MA,0.2828460467,88.159,238,"Pittsfield, MA",42.4500845,-73.2453824
Pocatello,ID,0.2528381777,72.8059375,170,"Pocatello, ID",42.8621042,-112.4506191
Port St. Lucie,FL,0.3095966802,102.9354167,414,"Port St. Lucie, FL",27.2730492,-80.3582261
Portland-South Portland,ME,0.1943747912,64.47833333,59,"Portland-South Portland, ME",43.6414716,-70.2408811
Portland-Vancouver-Hillsboro,OR,0.1393080453,48.29928571,8199,"Portland-Vancouver-Hillsboro, OR",45.6536758,-122.5462872
Poughkeepsie-Newburgh-MiddleTown,NY,0.2414869618,65.14083333,297,"Poughkeepsie-Newburgh-MiddleTown, NY",41.5034271,-74.0104178
Prescott Valley-Prescott,AZ,0.2561319391,80.08727273,2465,"Prescott Valley-Prescott, AZ",34.6100243,-112.315721
