msa,m_new_house_p,Income2Q,households,priced-out 
"Green Bay, WI MSA",231028,65732,124309,224
"Greensboro-High Point, NC MSA",288492,74552,295059,445
"Greenville, NC MSA",184839,48872,90674,204
"Greenville-Mauldin-Easley, SC MSA",277468,67903,254703,380
"Gulfport-Biloxi, MS MSA",162576,44342,108125,270
"Hagerstown-Martinsburg, MD-WV MSA",206117,51465,106312,238
"Hanford-Corcoran, CA MSA",189803,47603,39541,114
"Harrisburg-Carlisle, PA MSA",323166,87531,219380,310
"Harrisonburg, VA MSA",175588,41958,47538,122
"Hartford-West Hartford-East Hartford, CT M",319298,91708,477064,723
"Hattiesburg, MS MSA",243791,64017,52169,88
"Hickory-Lenoir-Morganton, NC MSA",252219,62967,150672,276
"Holland-Grand Haven, MI MSA",247807,67911,97057,222
"Honolulu, HI MSA",393669,87662,307228,420
"Hot Springs, AR MSA",262134,65875,46326,66
"Houma-Bayou Cane-Thibodaux, LA MSA",271420,69031,72220,115
"Houston-Sugar Land-Baytown, TX MSA",195144,60997,2167245,4234
"Huntsville, AL MSA",165823,40142,171081,384
"Idaho Falls, ID MSA",161729,40306,41575,108
"Indianapolis-Carmel, IN MSA",260699,67557,697114,1312
"Iowa City, IA MSA",271832,76239,67287,132
"Ithaca, NY MSA",280564,89282,36575,40
"Jackson, MI MSA",188708,52506,63934,190
"Jackson, MS MSA",244997,63545,192760,370
"Jackson, TN MSA",193808,49633,47158,84
"Jacksonville, FL MSA",280185,73490,508999,856
"Jacksonville, NC MSA",148170,37704,66124,233
"Janesville, WI MSA",213437,64369,62636,152
"Jefferson City, MO MSA",224583,57677,59464,126
"Johnson City, TN MSA",163973,40268,83177,239
"Johnstown, PA MSA",301932,84153,60029,66
"Joplin, MO MSA",144861,37416,72896,245
"Kalamazoo-Portage, MI MSA",254025,72309,135068,243
"Kankakee-Bradley, IL MSA",191793,58765,41504,111
"Kansas City, MO-KS MSA",292243,80318,814964,1194
"Kennewick-Pasco-Richland, WA MSA",328527,85647,92841,129
"Killeen-Temple-Fort Hood, TX MSA",169434,50058,146822,367
"Kingsport-Bristol-Bristol, TN-VA MSA",179999,45171,122105,323
"Kingston, NY MSA",377249,114249,72871,74
"Knoxville, TN MSA",213424,52723,294901,537
"Kokomo, IN MSA",215884,54403,39545,70
"La Crosse, WI-MN MSA",219155,62946,57652,92
"Lafayette, IN MSA",231863,58658,80628,156
"Lafayette, LA MSA",187491,47716,110350,217
"Lake Charles, LA MSA",234773,60482,81131,147
"Lakeland-Winter Haven, FL MSA",236300,64659,235702,358
"Lancaster, PA MSA",269950,74049,196147,413
"Lansing-East Lansing, MI MSA",254683,75840,184760,390
"Laredo, TX MSA",164186,50884,72117,196
"Las Cruces, NM MSA",231803,57551,71069,130
"Las Vegas-Paradise, NV MSA",182564,46013,755412,2044
"Lebanon, PA MSA",262028,71597,53811,115
"Lewiston, ID-WA MSA",255924,65790,26662,59
"Lexington-Fayette, KY MSA",175954,44491,194617,509
"Lima, OH MSA",213974,58512,40561,100
"Lincoln, NE MSA",229995,66939,123808,266
"Little Rock-North Little Rock-Conway, AR M",207826,52753,283816,636
"Logan, UT-ID MSA",223458,53659,42138,82
"Longview, TX MSA",155971,44591,72341,218
"Longview, WA MSA",246663,65225,35426,77
"Los Angeles-Long Beach-Santa Ana, CA MS",445105,107294,4292536,3813
"Louisville/Jefferson County, KY-IN MSA",229997,59226,533456,1140
"Lubbock, TX MSA",250013,76069,111958,173
"Lynchburg, VA MSA",223782,54240,102347,196
"Macon, GA MSA",198624,52472,84446,169
"Madera-Chowchilla, CA MSA",271959,67513,41538,73
"Madison, WI MSA",293258,83743,244625,381
"Manchester-Nashua, NH MSA",323009,95042,159493,230
"Mansfield, OH MSA",222557,61861,48355,103
"McAllen-Edinburg-Mission, TX MSA",137758,42748,237476,656
"Medford, OR MSA",272536,69332,74464,156
"Memphis, TN-MS-AR MSA",194193,52811,493575,1183
"Merced, CA MSA",351321,88213,79793,92
"Miami-Fort Lauderdale-Pompano Beach, FL",342099,97050,2058718,1953
"Midland, TX MSA",240632,69973,51972,111
"Milwaukee-Waukesha-West Allis, WI MSA",346831,100111,641192,943
"Minneapolis-St. Paul-Bloomington, MN-WI M",336496,89372,1327842,2009
"Mobile, AL MSA",163596,42440,154719,327
"Modesto, CA MSA",255320,64669,166773,281
"Monroe, LA MSA",196501,50170,70146,106
"Monroe, MI MSA",227025,62366,57536,106
"Montgomery, AL MSA",199530,48515,150721,276
"Morgantown, WV MSA",208761,51142,51113,107
"Morristown, TN MSA",203473,50167,50289,100
"Mount Vernon-Anacortes, WA MSA",245286,62316,42494,77
"Muncie, IN MSA",208458,55525,48842,103
"Muskegon-Norton Shores, MI MSA",205803,60633,65952,129
"Myrtle Beach-North Myrtle Beach-Conway, S",203843,50379,137484,283
"Napa, CA MSA",580197,142369,44979,19
"Naples-Marco Island, FL MSA",413389,105952,123245,75
"Nashville-Davidson--Murfreesboro--Franklin,",261290,65354,622873,1096
"New Haven-Milford, CT MSA",318180,93482,337231,514
"New Orleans-Metairie-Kenner, LA MSA",248612,65357,476731,750
"New York-Northern New Jersey-Long Island,",407805,113408,7040717,5742
"Niles-Benton Harbor, MI MSA",355099,96306,67997,80
"North Port-Bradenton-Sarasota, FL MSA",290155,78160,294796,371
"Ocala, FL MSA",226250,60413,134869,333
"Ocean City, NJ MSA",448406,118716,39273,35
"Odessa, TX MSA",216022,62359,48352,108
"Ogden-Clearfield, UT MSA",285382,69601,182900,391
"Oklahoma City, OK MSA",230816,63382,487440,935
"Olympia, WA MSA",290425,74854,103069,207
"Omaha-Council Bluffs, NE-IA MSA",219334,65366,356329,731
"Orlando-Kissimmee-Sanford, FL MSA",323141,85927,805830,955
"Oshkosh-Neenah, WI MSA",249872,72679,66752,154
"Oxnard-Thousand Oaks-Ventura, CA MSA",391706,94599,272711,343
"Palm Bay-Melbourne-Titusville, FL MSA",359862,98315,221973,257
Panama City-Lynn Haven-Panama City Beach,187641,48955,66256,123
"Pascagoula, MS MSA",162073,44932,55327,161
"Pensacola-Ferry Pass-Brent, FL MSA",171995,45705,187473,489
"Peoria, IL MSA",279063,83796,154710,283
"Philadelphia-Camden-Wilmington, PA-NJ-DE",270854,75346,2240167,3914
"Phoenix-Mesa-Glendale, AZ MSA",299444,74110,1594811,2670
"Pittsburgh, PA MSA",383844,110558,1012323,934
"Port St. Lucie, FL MSA",346618,99486,183423,199
"Portland-South Portland-Biddeford, ME MSA",321500,84074,218046,281
"Portland-Vancouver-Hillsboro, OR-WA MSA",324988,83386,873789,1190
"Poughkeepsie-Newburgh-Middletown, NY M",315346,93615,231194,383
"Prescott, AZ MSA",271476,65766,98451,184
"Providence-New Bedford-Fall River, RI-MA",314448,84389,623169,805
"Provo-Orem, UT MSA",289202,68850,149368,309
"Pueblo, CO MSA",212056,54060,62804,182
"Punta Gorda, FL MSA",255458,72257,79495,189
"Racine, WI MSA",283360,83396,75451,110
"Raleigh-Cary, NC MSA",239300,60054,477113,986
"Reading, PA MSA",255169,74361,143350,309
"Redding, CA MSA",242398,60089,66329,109
"Reno-Sparks, NV MSA",302827,75485,173013,295
"Richmond, VA MSA",220984,54604,481937,1003
"Riverside-San Bernardino-Ontario, CA MSA",294917,74642,1269021,2050
"Roanoke, VA MSA",247589,61709,138319,310
"Rochester, MN MSA",289029,76208,74890,139
"Rochester, NY MSA",363279,119792,421843,418
"Rockford, IL MSA",161275,52310,132629,402
"Rocky Mount, NC MSA",197825,52868,52983,107
"Rome, GA MSA",233496,60762,33306,73
"Sacramento--Arden-Arcade--Roseville, CA M",368853,92854,796644,1004
"Saginaw-Saginaw Township North, MI MSA",220475,64958,81456,155
"Salem, OR MSA",278962,72881,149861,271
"Salinas, CA MSA",336843,81481,125003,156
"Salisbury, MD MSA",172707,43739,44757,78
"Salt Lake City, UT MSA",286243,69358,389439,777
"San Antonio-New Braunfels, TX MSA",227539,68643,774537,1712
"San Diego-Carlsbad-San Marcos, CA MSA",443256,106876,1117831,912
"San Francisco-Oakland-Fremont, CA MSA",441837,106571,1665167,1597
"San Jose-Sunnyvale-Santa Clara, CA MSA",447432,107821,647818,729
"San Luis Obispo-Paso Robles, CA MSA",419878,100466,103348,137
"Sandusky, OH MSA",243727,66843,32955,68
"Santa Barbara-Santa Maria-Goleta, CA MSA",427335,101612,143151,120
"Santa Cruz-Watsonville, CA MSA",287744,68260,90282,151
"Santa Fe, NM MSA",180544,42743,65157,119
"Santa Rosa-Petaluma, CA MSA",325692,79106,191860,262
"Savannah, GA MSA",205157,53207,139421,311
"Scranton--Wilkes-Barre, PA MSA",345255,96513,222523,274
"Seattle-Tacoma-Bellevue, WA MSA",368710,94273,1397266,1775
"Sebastian-Vero Beach, FL MSA",433676,117492,61928,37
"Sheboygan, WI MSA",295862,85947,48035,79
"Shreveport-Bossier City, LA MSA",199792,51275,151106,284
"Sioux City, IA-NE-SD MSA",269059,78691,50974,72
"Sioux Falls, SD MSA",180932,49784,89630,283
"South Bend-Mishawaka, IN-MI MSA",275678,72826,119914,222
"Spartanburg, SC MSA",169499,42354,115152,317
"Spokane, WA MSA",358134,93874,192335,244
"Springfield, IL MSA",248178,74317,87129,142
"Springfield, MA MSA",357528,97210,259426,343
"Springfield, MO MSA",210300,53752,184137,450
"Springfield, OH MSA",245947,68424,53722,95
"St. Cloud, MN MSA",238803,62543,71849,136
"St. George, UT MSA",218646,52782,52381,121
"St. Joseph, MO-KS MSA",212137,55439,50925,103
"St. Louis, MO-IL MSA",263137,72040,1115669,2071
"State College, PA MSA",261048,69018,53699,88
"Stockton, CA MSA",311589,78983,219842,252
"Sumter, SC MSA",131871,33549,38919,124
