"","X","MSA","state","lq","race","MSA_State","geometry"
"57",57,"Carbondale","IL",0.81,"Asian","Carbondale, IL",c(-89.2167501, 37.7272727)
"58",58,"Carson City","NV",1.61,"Asian","Carson City, NV",c(-119.7674034, 39.1637984)
"59",59,"Casper","WY",0,"Asian","Casper, WY",c(-106.2980824, 42.848709)
"60",60,"Cedar Rapids","IA",0.14,"Asian","Cedar Rapids, IA",c(-91.6656232, 41.9778795)
"61",61,"Chambersburg","PA",0.36,"Asian","Chambersburg, PA",c(-77.6611022, 39.9375911)
"62",62,"Champaign","IL",2.1,"Asian","Champaign, IL",c(-88.2433829, 40.1164204)
"63",63,"Charleston","WV",0.25,"Asian","Charleston, WV",c(-81.6326234, 38.3498195)
"64",64,"Charleston","SC",0.4,"Asian","Charleston, SC",c(-79.9310512, 32.7764749)
"65",65,"Charlotte","NC",1.51,"Asian","Charlotte, NC",c(-80.8431267, 35.2270869)
"66",66,"Charlottesville","VA",1.62,"Asian","Charlottesville, VA",c(-78.4766781, 38.0293059)
"67",67,"Chattanooga","TN",0.43,"Asian","Chattanooga, TN",c(-85.3093995, 35.0457984)
"68",68,"Cheyenne","WY",0.75,"Asian","Cheyenne, WY",c(-104.8202462, 41.1399814)
"69",69,"Chicago","IL",1,"Asian","Chicago, IL",c(-87.6297982, 41.8781136)
"70",70,"Chico","CA",0.16,"Asian","Chico, CA",c(-121.8374777, 39.7284944)
"71",71,"Cincinnati","OH",0.9,"Asian","Cincinnati, OH",c(-84.5120196, 39.1031182)
"72",72,"Clarksville","TN",0.6,"Asian","Clarksville, TN",c(-87.3594528, 36.5297706)
"73",73,"Cleveland","TN",0.32,"Asian","Cleveland, TN",c(-84.8766115, 35.1595182)
"74",74,"Cleveland","OH",0.57,"Asian","Cleveland, OH",c(-81.6943605, 41.49932)
"75",75,"Coeur d'Alene","ID",0.32,"Asian","Coeur d'Alene, ID",c(-116.7812225, 47.6734632)
"76",76,"College Station","TX",0.96,"Asian","College Station, TX",c(-96.3344068, 30.627977)
"77",77,"Colorado Springs","CO",1.42,"Asian","Colorado Springs, CO",c(-104.8213634, 38.8338816)
"78",78,"Columbia","MO",1.13,"Asian","Columbia, MO",c(-92.3340724, 38.9517053)
"79",79,"Columbia","SC",0.97,"Asian","Columbia, SC",c(-81.0348144, 34.0007104)
"80",80,"Columbus","GA",0.98,"Asian","Columbus, GA",c(-84.9877094, 32.4609764)
"81",81,"Columbus","IN",2.12,"Asian","Columbus, IN",c(-85.9213796, 39.2014404)
"82",82,"Columbus","OH",1.51,"Asian","Columbus, OH",c(-82.9987942, 39.9611755)
"83",83,"Corpus Christi","TX",0.67,"Asian","Corpus Christi, TX",c(-97.396381, 27.8005828)
"84",84,"Corvallis","OR",1.96,"Asian","Corvallis, OR",c(-123.2620435, 44.5645659)
"85",85,"Crestview","FL",1.03,"Asian","Crestview, FL",c(-86.5727995, 30.7541808)
"86",86,"Cumberland","MD",0.21,"Asian","Cumberland, MD",c(-78.7625185, 39.6528654)
"87",87,"Dallas","TX",1.55,"Asian","Dallas, TX",c(-96.7969879, 32.7766642)
"88",88,"Dalton","GA",0.36,"Asian","Dalton, GA",c(-84.9702228, 34.7698021)
"89",89,"Danville","IL",0,"Asian","Danville, IL",c(-87.6300207, 40.124481)
"90",90,"Daphne","AL",0.13,"Asian","Daphne, AL",c(-87.9036047, 30.6035255)
"91",91,"Davenport","IA",0.63,"Asian","Davenport, IA",c(-90.5776367, 41.5236437)
"92",92,"Dayton","OH",0.6,"Asian","Dayton, OH",c(-84.1916069, 39.7589478)
"93",93,"Decatur","AL",0,"Asian","Decatur, AL",c(-86.9833417, 34.6059253)
"94",94,"Decatur","IL",0.53,"Asian","Decatur, IL",c(-88.9548001, 39.8403147)
"95",95,"Deltona","FL",0.43,"Asian","Deltona, FL",c(-81.2636738, 28.9005446)
"96",96,"Denver","CO",0.98,"Asian","Denver, CO",c(-104.990251, 39.7392358)
"97",97,"Des Moines","IA",0.83,"Asian","Des Moines, IA",c(-93.6249593, 41.5868353)
"98",98,"Detroit","MI",0.66,"Asian","Detroit, MI",c(-83.0457538, 42.331427)
"99",99,"Dothan","AL",0.27,"Asian","Dothan, AL",c(-85.3904888, 31.2232313)
"100",100,"Dover","DE",0.99,"Asian","Dover, DE",c(-75.5243682, 39.158168)
"101",101,"Dubuque","IA",0.9,"Asian","Dubuque, IA",c(-90.6677347, 42.506348)
"102",102,"Duluth","MN",0.25,"Asian","Duluth, MN",c(-92.1004852, 46.7866719)
"103",103,"Durham","NC",1.52,"Asian","Durham, NC",c(-78.898619, 35.9940329)
"104",104,"East Stroudsburg","PA",0.75,"Asian","East Stroudsburg, PA",c(-75.1817547, 41.0030522)
"105",105,"Eau Claire","WI",0.83,"Asian","Eau Claire, WI",c(-91.4984941, 44.811349)
"106",106,"El Centro","CA",0.05,"Asian","El Centro, CA",c(-115.5630514, 32.792)
"107",107,"Elizabethtown","KY",1.09,"Asian","Elizabethtown, KY",c(-85.8649408, 37.7030646)
"108",108,"Elkhart","IN",0,"Asian","Elkhart, IN",c(-85.973517, 41.6873832)
"109",109,"Elmira","NY",0.47,"Asian","Elmira, NY",c(-76.8077338, 42.0897965)
"110",110,"El Paso","TX",0.48,"Asian","El Paso, TX",c(-106.4850217, 31.7618778)
"111",111,"Enid","OK",1.5,"Asian","Enid, OK",c(-97.8783911, 36.3955891)
"112",112,"Erie","PA",0.53,"Asian","Erie, PA",c(-80.085059, 42.1292241)
"113",113,"Eugene","OR",0.94,"Asian","Eugene, OR",c(-123.0867536, 44.0520691)
"114",114,"Evansville","IN",0.29,"Asian","Evansville, IN",c(-87.5710898, 37.9715592)
"115",115,"Fairbanks","AK",1.69,"Asian","Fairbanks, AK",c(-147.7199756, 64.8400511)
"116",116,"Fargo","ND",0.81,"Asian","Fargo, ND",c(-96.7898034, 46.8771863)
"117",117,"Farmington","NM",0.25,"Asian","Farmington, NM",c(-108.2186856, 36.7280583)
"118",118,"Fayetteville","NC",1.02,"Asian","Fayetteville, NC",c(-78.8783774, 35.0523673)
"119",119,"Fayetteville","AR",1.25,"Asian","Fayetteville, AR",c(-94.1605839, 36.0626579)
"120",120,"Flagstaff","AZ",0.14,"Asian","Flagstaff, AZ",c(-111.651302, 35.1982836)
"121",121,"Flint","MI",0.14,"Asian","Flint, MI",c(-83.6874562, 43.0125274)
"122",122,"Florence","SC",0.22,"Asian","Florence, SC",c(-79.7625625, 34.1954331)
"123",123,"Florence","AL",0.09,"Asian","Florence, AL",c(-87.677251, 34.79981)
"124",124,"Fond du Lac","WI",1.31,"Asian","Fond du Lac, WI",c(-88.4470508, 43.7730448)
"125",125,"Fort Collins","CO",0.83,"Asian","Fort Collins, CO",c(-105.084423, 40.5852602)
"126",126,"Fort Smith","AR",0.3,"Asian","Fort Smith, AR",c(-94.4209646, 35.3843722)
"127",127,"Fort Wayne","IN",0.73,"Asian","Fort Wayne, IN",c(-85.1393513, 41.079273)
"128",128,"Fresno","CA",0.63,"Asian","Fresno, CA",c(-119.7871247, 36.7377981)
"129",129,"Gadsden","AL",0.13,"Asian","Gadsden, AL",c(-86.0066386, 34.014264)
"130",130,"Gainesville","FL",0.88,"Asian","Gainesville, FL",c(-82.3248262, 29.6516344)
"131",131,"Gainesville","GA",0.16,"Asian","Gainesville, GA",c(-83.8240663, 34.2978794)
"132",132,"Gettysburg","PA",0.28,"Asian","Gettysburg, PA",c(-77.2310955, 39.8309293)
"133",133,"Glens Falls","NY",0.18,"Asian","Glens Falls, NY",c(-73.6440058, 43.3095164)
"134",134,"Goldsboro","NC",0.26,"Asian","Goldsboro, NC",c(-77.9927651, 35.3848841)
"135",135,"Grand Forks","ND",1.45,"Asian","Grand Forks, ND",c(-97.0328547, 47.9252568)
"136",136,"Grand Island","NE",0.09,"Asian","Grand Island, NE",c(-98.3420118, 40.9263957)
"137",137,"Grand Junction","CO",0.24,"Asian","Grand Junction, CO",c(-108.5506486, 39.0638705)
"138",138,"Grand Rapids","MI",0.44,"Asian","Grand Rapids, MI",c(-85.6680863, 42.9633599)
"139",139,"Grants Pass","OR",0.13,"Asian","Grants Pass, OR",c(-123.3283925, 42.4390069)
"140",140,"Great Falls","MT",0.4,"Asian","Great Falls, MT",c(-111.3007715, 47.5052849)
"141",141,"Greeley","CO",0.41,"Asian","Greeley, CO",c(-104.7091322, 40.4233142)
"142",142,"Green Bay","WI",0.85,"Asian","Green Bay, WI",c(-88.0132958, 44.5133188)
"143",143,"Greensboro","NC",0.72,"Asian","Greensboro, NC",c(-79.7919754, 36.0726354)
"144",144,"Greenville","NC",0.76,"Asian","Greenville, NC",c(-77.3663538, 35.612661)
"145",145,"Greenville","SC",0.61,"Asian","Greenville, SC",c(-82.3940104, 34.8526176)
"146",146,"Gulfport","MS",0.66,"Asian","Gulfport, MS",c(-89.0928155, 30.3674198)
"147",147,"Hagerstown","MD",0.34,"Asian","Hagerstown, MD",c(-77.7199932, 39.6417629)
"148",148,"Hammond","LA",0.22,"Asian","Hammond, LA",c(-90.4611995, 30.5043583)
"149",149,"Hanford","CA",0.22,"Asian","Hanford, CA",c(-119.6456844, 36.3274502)
"150",150,"Harrisburg","PA",1.2,"Asian","Harrisburg, PA",c(-76.8867008, 40.2731911)
"151",151,"Harrisonburg","VA",0.78,"Asian","Harrisonburg, VA",c(-78.8689155, 38.4495688)
"152",152,"Hartford","CT",1.19,"Asian","Hartford, CT",c(-72.6733723, 41.7658043)
"153",153,"Hattiesburg","MS",0,"Asian","Hattiesburg, MS",c(-89.2903392, 31.3271189)
"154",154,"Hickory","NC",0.63,"Asian","Hickory, NC",c(-81.3444573, 35.7344538)
"155",155,"Hilton Head Island","SC",0.57,"Asian","Hilton Head Island, SC",c(-80.752608, 32.216316)
"156",156,"Hinesville","GA",0.6,"Asian","Hinesville, GA",c(-81.6141099, 31.8315028)
"157",157,"Homosassa Springs","FL",0.11,"Asian","Homosassa Springs, FL",c(-82.5761369, 28.8037059)
"158",158,"Hot Springs","AR",0.05,"Asian","Hot Springs, AR",c(-93.0546003, 34.5077615)
"159",159,"Houma","LA",0,"Asian","Houma, LA",c(-90.7195348, 29.5957696)
"160",160,"Houston","TX",1.08,"Asian","Houston, TX",c(-95.3698028, 29.7604267)
"161",161,"Huntington","WV",0.31,"Asian","Huntington, WV",c(-82.445154, 38.4192496)
"162",162,"Huntsville","AL",0.52,"Asian","Huntsville, AL",c(-86.5861037, 34.7303688)
"163",163,"Idaho Falls","ID",0.23,"Asian","Idaho Falls, ID",c(-112.0407584, 43.4926607)
"164",164,"Indianapolis","IN",0.99,"Asian","Indianapolis, IN",c(-86.158068, 39.768403)
"165",165,"Iowa City","IA",1.17,"Asian","Iowa City, IA",c(-91.5346169, 41.6578257)
"166",166,"Ithaca","NY",10.47,"Asian","Ithaca, NY",c(-76.5018807, 42.4439614)
"167",167,"Jackson","MI",0.26,"Asian","Jackson, MI",c(-84.4013462, 42.245869)
"168",168,"Jackson","MS",0.18,"Asian","Jackson, MS",c(-90.1848103, 32.2987573)
"169",169,"Jackson","TN",0.07,"Asian","Jackson, TN",c(-88.8139469, 35.6145169)
"170",170,"Jacksonville","FL",0.94,"Asian","Jacksonville, FL",c(-81.655651, 30.3321838)
"171",171,"Jacksonville","NC",1.77,"Asian","Jacksonville, NC",c(-77.4302414, 34.7540524)
"172",172,"Janesville","WI",0.12,"Asian","Janesville, WI",c(-89.0187222, 42.6827885)
"173",173,"Jefferson City","MO",0.01,"Asian","Jefferson City, MO",c(-92.1735164, 38.5767017)
"174",174,"Johnson City","TN",0.85,"Asian","Johnson City, TN",c(-82.3534727, 36.3134397)
"175",175,"Johnstown","PA",0,"Asian","Johnstown, PA",c(-78.9219698, 40.3267407)
"176",176,"Jonesboro","AR",0.03,"Asian","Jonesboro, AR",c(-90.7051346, 35.835696)
"177",177,"Joplin","MO",0.14,"Asian","Joplin, MO",c(-94.513281, 37.0842271)
"178",178,"Kahului","HI",1.72,"Asian","Kahului, HI",c(-156.4728725, 20.8893016)
"179",179,"Kalamazoo","MI",0.66,"Asian","Kalamazoo, MI",c(-85.5872286, 42.2917069)
"180",180,"Kankakee","IL",0.01,"Asian","Kankakee, IL",c(-87.8611531, 41.1200325)
"181",181,"Kansas City","MO",1.01,"Asian","Kansas City, MO",c(-94.5785667, 39.0997265)
"182",182,"Kennewick","WA",0.44,"Asian","Kennewick, WA",c(-119.119948, 46.2086683)
"183",183,"Killeen","TX",0.76,"Asian","Killeen, TX",c(-97.7277959, 31.1171194)
"184",184,"Kingsport","TN",0.18,"Asian","Kingsport, TN",c(-82.5618186, 36.548434)
"185",185,"Kingston","NY",0.06,"Asian","Kingston, NY",c(-73.9973608, 41.9270367)
"186",186,"Knoxville","TN",0.38,"Asian","Knoxville, TN",c(-83.9207392, 35.9606384)
"187",187,"Kokomo","IN",0,"Asian","Kokomo, IN",c(-86.1336033, 40.486427)
"188",188,"La Crosse","WI",0.84,"Asian","La Crosse, WI",c(-91.2519017, 43.8137751)
"189",189,"Lafayette","LA",0.25,"Asian","Lafayette, LA",c(-92.0198427, 30.2240897)
"190",190,"Lafayette","IN",4.18,"Asian","Lafayette, IN",c(-86.8752869, 40.4167022)
"191",191,"Lake Charles","LA",0.24,"Asian","Lake Charles, LA",c(-93.2173758, 30.2265949)
"192",192,"Lake Havasu City","AZ",0.61,"Asian","Lake Havasu City, AZ",c(-114.3224548, 34.483901)
"193",193,"Lakeland","FL",0.28,"Asian","Lakeland, FL",c(-81.9498042, 28.0394654)
"194",194,"Lancaster","PA",0.57,"Asian","Lancaster, PA",c(-76.3055144, 40.0378755)
"195",195,"Lansing","MI",0.88,"Asian","Lansing, MI",c(-84.5555347, 42.732535)
"196",196,"Laredo","TX",0,"Asian","Laredo, TX",c(-99.5075519, 27.5035613)
"197",197,"Las Cruces","NM",0.43,"Asian","Las Cruces, NM",c(-106.7636538, 32.3199396)
"198",198,"Las Vegas","NV",2.51,"Asian","Las Vegas, NV",c(-115.1391009, 36.171563)
"199",199,"Lawrence","KS",0.15,"Asian","Lawrence, KS",c(-95.2352501, 38.9716689)
"200",200,"Lawton","OK",1.87,"Asian","Lawton, OK",c(-98.3959291, 34.6035669)
"201",201,"Lebanon","PA",1.45,"Asian","Lebanon, PA",c(-76.4113497, 40.3409251)
"202",202,"Lewiston","ID",0.26,"Asian","Lewiston, ID",c(-117.0011889, 46.4004089)
"203",203,"Lewiston","ME",0.25,"Asian","Lewiston, ME",c(-70.2147764, 44.100351)
"204",204,"Lexington","KY",0.54,"Asian","Lexington, KY",c(-84.5037164, 38.0405837)
"205",205,"Lima","OH",0.07,"Asian","Lima, OH",c(-84.1052256, 40.742551)
"206",206,"Lincoln","NE",0.97,"Asian","Lincoln, NE",c(-96.7025955, 40.813616)
"207",207,"Little Rock","AR",0.28,"Asian","Little Rock, AR",c(-92.2880157, 34.7444618)
"208",208,"Logan","UT",0.49,"Asian","Logan, UT",c(-111.8338359, 41.7369803)
"209",209,"Longview","TX",0.07,"Asian","Longview, TX",c(-94.7404891, 32.5007037)
"210",210,"Longview","WA",0.13,"Asian","Longview, WA",c(-122.9381672, 46.1381676)
"211",211,"Los Angeles","CA",0.91,"Asian","Los Angeles, CA",c(-118.2436849, 34.0522342)
"212",212,"Louisville/Jefferson County","KY",0.62,"Asian","Louisville/Jefferson County, KY",c(-85.7584557, 38.2526647)
"213",213,"Lubbock","TX",0.24,"Asian","Lubbock, TX",c(-101.8456417, 33.5845617)
"214",214,"Lynchburg","VA",0.5,"Asian","Lynchburg, VA",c(-79.1422464, 37.4137536)
"215",215,"Macon","GA",0.15,"Asian","Macon, GA",c(-83.6324022, 32.8406946)
"216",216,"Madera","CA",0,"Asian","Madera, CA",c(-120.0607176, 36.9613356)
"217",217,"Madison","WI",1.96,"Asian","Madison, WI",c(-89.4007501, 43.0721661)
"218",218,"Manchester","NH",1.44,"Asian","Manchester, NH",c(-71.4547891, 42.9956397)
"219",219,"Manhattan","KS",1.4,"Asian","Manhattan, KS",c(-96.5716694, 39.1836082)
"220",220,"Mankato","MN",0.42,"Asian","Mankato, MN",c(-93.9993996, 44.1635775)
"221",221,"Mansfield","OH",0,"Asian","Mansfield, OH",c(-82.5154471, 40.75839)
"222",222,"McAllen","TX",0.02,"Asian","McAllen, TX",c(-98.2300124, 26.2034071)
"223",223,"Medford","OR",0.3,"Asian","Medford, OR",c(-122.8755949, 42.3265152)
"224",224,"Memphis","TN",0.81,"Asian","Memphis, TN",c(-90.0489801, 35.1495343)
"225",225,"Merced","CA",0.35,"Asian","Merced, CA",c(-120.4829677, 37.3021632)
"226",226,"Miami","FL",0.44,"Asian","Miami, FL",c(-80.1917902, 25.7616798)
"227",227,"Michigan City","IN",0.02,"Asian","Michigan City, IN",c(-86.8950297, 41.7075394)
"228",228,"Midland","MI",0.55,"Asian","Midland, MI",c(-84.2472116, 43.6155825)
"229",229,"Midland","TX",0.4,"Asian","Midland, TX",c(-102.0779146, 31.9973456)
"230",230,"Milwaukee","WI",0.66,"Asian","Milwaukee, WI",c(-87.9064736, 43.0389025)
"231",231,"Minneapolis","MN",0.91,"Asian","Minneapolis, MN",c(-93.2650108, 44.977753)
"232",232,"Missoula","MT",1.46,"Asian","Missoula, MT",c(-113.9940314, 46.8721284)
"233",233,"Mobile","AL",0.23,"Asian","Mobile, AL",c(-88.0398912, 30.6953657)
"234",234,"Modesto","CA",0.26,"Asian","Modesto, CA",c(-120.9970014, 37.6392595)
"235",235,"Monroe","LA",0.37,"Asian","Monroe, LA",c(-92.1193012, 32.5093109)
"236",236,"Monroe","MI",0.07,"Asian","Monroe, MI",c(-83.3977101, 41.9164343)
"237",237,"Montgomery","AL",0.95,"Asian","Montgomery, AL",c(-86.3077368, 32.3792233)
"238",238,"Morgantown","WV",0.42,"Asian","Morgantown, WV",c(-79.9558968, 39.629526)
"239",239,"Morristown","TN",0,"Asian","Morristown, TN",c(-83.2948922, 36.2139814)
"240",240,"Mount Vernon","WA",0.3,"Asian","Mount Vernon, WA",c(-122.3374542, 48.4201105)
"241",241,"Muncie","IN",0.36,"Asian","Muncie, IN",c(-85.3863599, 40.1933767)
"242",242,"Muskegon","MI",0.14,"Asian","Muskegon, MI",c(-86.2483921, 43.2341813)
"243",243,"Myrtle Beach","SC",0.2,"Asian","Myrtle Beach, SC",c(-78.8866943, 33.6890603)
"244",244,"Napa","CA",0.32,"Asian","Napa, CA",c(-122.286865, 38.2975381)
"245",245,"Naples","FL",0.59,"Asian","Naples, FL",c(-81.7948103, 26.1420358)
"246",246,"Nashville","TN",0.67,"Asian","Nashville, TN",c(-86.7816016, 36.1626638)
"247",247,"New Bern","NC",0.18,"Asian","New Bern, NC",c(-77.0441143, 35.108493)
"248",248,"New Haven","CT",1.3,"Asian","New Haven, CT",c(-72.9278835, 41.308274)
"249",249,"New Orleans","LA",0.34,"Asian","New Orleans, LA",c(-90.0715323, 29.9510658)
"250",250,"New York","NY",1.3,"Asian","New York, NY",c(-74.0059728, 40.7127753)
"251",251,"Niles","MI",0.42,"Asian","Niles, MI",c(-86.2541768, 41.8297694)
"252",252,"North Port","FL",0.34,"Asian","North Port, FL",c(-82.2359254, 27.044224)
"253",253,"Norwich","CT",1.33,"Asian","Norwich, CT",c(-72.0759105, 41.5242649)
"254",254,"Ocala","FL",0.16,"Asian","Ocala, FL",c(-82.1400923, 29.1871986)
"255",255,"Ocean City","NJ",0.23,"Asian","Ocean City, NJ",c(-74.5746001, 39.2776156)
"256",256,"Odessa","TX",0.13,"Asian","Odessa, TX",c(-102.3676431, 31.8456816)
"257",257,"Ogden","UT",0.27,"Asian","Ogden, UT",c(-111.9738304, 41.223)
"258",258,"Oklahoma City","OK",0.5,"Asian","Oklahoma City, OK",c(-97.5164276, 35.4675602)
"259",259,"Olympia","WA",0.75,"Asian","Olympia, WA",c(-122.9006951, 47.0378741)
"260",260,"Omaha","NE",0.66,"Asian","Omaha, NE",c(-95.9345034, 41.2565369)
"261",261,"Orlando","FL",0.69,"Asian","Orlando, FL",c(-81.3789269, 28.5383832)
"262",262,"Oshkosh","WI",0.06,"Asian","Oshkosh, WI",c(-88.5426136, 44.0247062)
"263",263,"Owensboro","KY",0.47,"Asian","Owensboro, KY",c(-87.1111676, 37.7719074)
"264",264,"Oxnard","CA",0.79,"Asian","Oxnard, CA",c(-119.1770516, 34.1975048)
"265",265,"Palm Bay","FL",0.53,"Asian","Palm Bay, FL",c(-80.5886646, 28.0344621)
"266",266,"Panama City","FL",0.77,"Asian","Panama City, FL",c(-85.6602058, 30.1588129)
"267",267,"Parkersburg","WV",0.23,"Asian","Parkersburg, WV",c(-81.5615135, 39.2667418)
"268",268,"Pensacola","FL",0.96,"Asian","Pensacola, FL",c(-87.2169149, 30.421309)
"269",269,"Peoria","IL",0.46,"Asian","Peoria, IL",c(-89.5889864, 40.6936488)
"270",270,"Philadelphia","PA",1.45,"Asian","Philadelphia, PA",c(-75.1652215, 39.9525839)
"271",271,"Phoenix","AZ",0.75,"Asian","Phoenix, AZ",c(-112.0740373, 33.4483771)
"272",272,"Pine Bluff","AR",0.03,"Asian","Pine Bluff, AR",c(-92.0033977, 34.224908)
"273",273,"Pittsburgh","PA",1.01,"Asian","Pittsburgh, PA",c(-79.9958864, 40.4406248)
"274",274,"Pittsfield","MA",0.2,"Asian","Pittsfield, MA",c(-73.2453824, 42.4500845)
"275",275,"Pocatello","ID",0.4,"Asian","Pocatello, ID",c(-112.4506191, 42.8621042)
"276",276,"Portland","ME",0.35,"Asian","Portland, ME",c(-70.2568189, 43.6590993)
"277",277,"Portland","OR",1.59,"Asian","Portland, OR",c(-122.6783853, 45.515232)
"278",278,"Port St. Lucie","FL",0.05,"Asian","Port St. Lucie, FL",c(-80.3582261, 27.2730492)
"279",279,"Poughkeepsie","NY",0.47,"Asian","Poughkeepsie, NY",c(-73.9209701, 41.7003713)
"280",280,"Prescott Valley","AZ",0.61,"Asian","Prescott Valley, AZ",c(-112.315259, 34.6096777)
"281",281,"Providence","RI",0.78,"Asian","Providence, RI",c(-71.4128343, 41.8239891)
"282",282,"Provo","UT",0.51,"Asian","Provo, UT",c(-111.6585337, 40.2338438)
"283",283,"Pueblo","CO",0.26,"Asian","Pueblo, CO",c(-104.6091409, 38.2544472)
